GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000099591.1	0	NA	NA	NA	NA	NA	chr1	17993812	17997483	+	NA	Gm17969
ENSMUSG00000101738.1	0	NA	NA	NA	NA	NA	chr1	18307823	18313906	+	NA	Gm29006
ENSMUSG00000101306.1	0	NA	NA	NA	NA	NA	chr1	18708427	18709336	+	NA	Gm5252
ENSMUSG00000101644.1	0	NA	NA	NA	NA	NA	chr1	19037265	19037377	+	NA	Gm28343
ENSMUSG00000099433.1	0	NA	NA	NA	NA	NA	chr1	19062856	19063135	+	NA	Gm28344
ENSMUSG00000042596.7	0	NA	NA	NA	NA	NA	chr1	19103021	19166346	+	NA	Tfap2d
ENSMUSG00000025927.13	0	NA	NA	NA	NA	NA	chr1	19208913	19238576	+	NA	Tfap2b
ENSMUSG00000100538.1	0	NA	NA	NA	NA	NA	chr1	19242724	19243769	+	NA	Gm28340
ENSMUSG00000100204.1	3.57336719965787	0.349862330926561	0.845006696873709	0.414034980102471	0.678848489151381	NA	chr1	19330938	19333184	+	NA	Gm4849
ENSMUSG00000102597.1	0	NA	NA	NA	NA	NA	chr1	19614268	19616767	+	NA	Gm38382
ENSMUSG00000089914.2	0	NA	NA	NA	NA	NA	chr1	20356451	20392300	+	NA	4930486I03Rik
ENSMUSG00000065559.1	0	NA	NA	NA	NA	NA	chr1	20679009	20679082	+	NA	Mir206
ENSMUSG00000099906.1	0	NA	NA	NA	NA	NA	chr1	20679022	20684298	+	NA	Gm28653
ENSMUSG00000065480.1	0	NA	NA	NA	NA	NA	chr1	20682768	20682887	+	NA	Mir133b
ENSMUSG00000025929.4	0	NA	NA	NA	NA	NA	chr1	20730904	20734496	+	NA	Il17a
ENSMUSG00000099714.1	0	NA	NA	NA	NA	NA	chr1	20821330	20822516	+	NA	Gm20587
ENSMUSG00000102121.1	0	NA	NA	NA	NA	NA	chr1	20836660	20839689	+	NA	Gm28065
ENSMUSG00000025931.15	0.482696204000586	0.716689387309139	3.49624804493353	0.204988141029555	0.837581390377958	NA	chr1	20890605	20939650	+	NA	Paqr8
ENSMUSG00000100929.1	0	NA	NA	NA	NA	NA	chr1	20945710	20946914	+	NA	Gm28064
ENSMUSG00000041809.5	0.307841300204079	1.67661878694879	4.03779928885144	0.415230839130121	0.677972924993158	NA	chr1	20951625	20990841	+	NA	Efhc1
ENSMUSG00000099971.1	0	NA	NA	NA	NA	NA	chr1	21080113	21081748	+	NA	Gm28287
ENSMUSG00000100819.1	0	NA	NA	NA	NA	NA	chr1	21178987	21187427	+	NA	Gm2693
ENSMUSG00000025933.15	3.3656019598572	-1.40238985383979	0.923376506233029	-1.51876276293938	0.128822222023488	NA	chr1	21218574	21230167	+	NA	Tmem14a
ENSMUSG00000102633.1	0	NA	NA	NA	NA	NA	chr1	21234721	21236821	+	NA	Gm38224
ENSMUSG00000096375.2	0	NA	NA	NA	NA	NA	chr1	21272402	21272906	+	NA	Gm7094
ENSMUSG00000067750.3	0	NA	NA	NA	NA	NA	chr1	21349640	21352200	+	NA	Khdc1a
ENSMUSG00000086194.1	0	NA	NA	NA	NA	NA	chr1	21354004	21355116	+	NA	Gm16329
ENSMUSG00000094436.1	0	NA	NA	NA	NA	NA	chr1	21364802	21365030	+	NA	Gm16327
ENSMUSG00000041722.7	0	NA	NA	NA	NA	NA	chr1	21368330	21370845	+	NA	Khdc1c
ENSMUSG00000085507.1	0	NA	NA	NA	NA	NA	chr1	21372669	21373764	+	NA	Gm2709
ENSMUSG00000094926.1	0	NA	NA	NA	NA	NA	chr1	21379554	21379782	+	NA	Gm16533
ENSMUSG00000085079.3	0	NA	NA	NA	NA	NA	chr1	21383555	21386373	+	NA	Khdc1b
ENSMUSG00000085679.2	0	NA	NA	NA	NA	NA	chr1	21390905	21391101	+	NA	Gm16328
ENSMUSG00000097109.1	0	NA	NA	NA	NA	NA	chr1	21959841	21962530	+	NA	Gm26580
ENSMUSG00000100418.1	0	NA	NA	NA	NA	NA	chr1	22237848	22238295	+	NA	Gm28239
ENSMUSG00000097642.1	0	NA	NA	NA	NA	NA	chr1	22740763	22741565	+	NA	Gm26866
ENSMUSG00000089553.1	0	NA	NA	NA	NA	NA	chr1	23245210	23245331	+	NA	Gm24176
ENSMUSG00000065405.3	0	NA	NA	NA	NA	NA	chr1	23272268	23272339	+	NA	Mir30a
ENSMUSG00000097970.1	1.52876222300179	-1.98641474751525	1.56629307993501	-1.26822672778307	0.20471699479046	NA	chr1	23291536	23291935	+	NA	Gm27028
ENSMUSG00000065567.1	0	NA	NA	NA	NA	NA	chr1	23291700	23291784	+	NA	Mir30c-2
ENSMUSG00000100775.1	0.523161226624949	-2.62218926869761	3.82645626022661	-0.685278777639111	0.493168021065127	NA	chr1	23293728	23294075	+	NA	Gm29107
ENSMUSG00000097920.1	0	NA	NA	NA	NA	NA	chr1	23479538	23480527	+	NA	Gm7784
ENSMUSG00000099503.1	0	NA	NA	NA	NA	NA	chr1	23574586	23596664	+	NA	Gm28822
ENSMUSG00000102398.1	0	NA	NA	NA	NA	NA	chr1	24100624	24103424	+	NA	Gm37580
ENSMUSG00000097670.1	0	NA	NA	NA	NA	NA	chr1	24125274	24126141	+	NA	Gm26607
ENSMUSG00000026147.16	0	NA	NA	NA	NA	NA	chr1	24177609	24252684	+	NA	Col9a1
ENSMUSG00000100450.1	0	NA	NA	NA	NA	NA	chr1	25011940	25012756	+	NA	Gm9443
ENSMUSG00000080849.1	0	NA	NA	NA	NA	NA	chr1	25223729	25224173	+	NA	Gm15702
ENSMUSG00000084740.1	0	NA	NA	NA	NA	NA	chr1	25451070	25451174	+	NA	Gm25294
ENSMUSG00000104516.1	0	NA	NA	NA	NA	NA	chr1	25830656	25831878	+	NA	Gm9884
ENSMUSG00000099458.1	0	NA	NA	NA	NA	NA	chr1	26466235	26466886	+	NA	Gm19123
ENSMUSG00000088111.1	0	NA	NA	NA	NA	NA	chr1	26566832	26566938	+	NA	Gm24064
ENSMUSG00000101514.1	5.21436689164306	0.182041063643345	0.693590819686045	0.262461754793333	0.792965467324717	NA	chr1	27884045	27902396	+	NA	Gm5524
ENSMUSG00000101372.1	0.328557835723496	-0.180485163933271	4.0804728567969	-0.0442314335292377	0.964719926231715	NA	chr1	27989909	27991782	+	NA	Gm19028
ENSMUSG00000103241.1	0	NA	NA	NA	NA	NA	chr1	28569917	28571431	+	NA	Gm38089
ENSMUSG00000058590.2	0	NA	NA	NA	NA	NA	chr1	28938035	28938339	+	NA	Gm6462
ENSMUSG00000101235.1	0	NA	NA	NA	NA	NA	chr1	29219699	29220249	+	NA	Gm18033
ENSMUSG00000080625.1	0	NA	NA	NA	NA	NA	chr1	29301479	29301579	+	NA	Gm22679
ENSMUSG00000099257.1	0	NA	NA	NA	NA	NA	chr1	29421487	29421612	+	NA	Mir6342
ENSMUSG00000101726.1	0	NA	NA	NA	NA	NA	chr1	29930093	29930715	+	NA	Gm7858
ENSMUSG00000096829.1	0	NA	NA	NA	NA	NA	chr1	29985933	29986043	+	NA	Gm23771
ENSMUSG00000100261.1	1.58163244011707	1.81836450741758	1.53450107440583	1.18498744493982	0.236022410984491	NA	chr1	30769686	30771815	+	NA	Gm6473
ENSMUSG00000100237.1	0.307808908299323	1.67648683912126	4.03781107979431	0.415196948542391	0.677997732459901	NA	chr1	31041918	31043675	+	NA	Gm28644
ENSMUSG00000100910.1	0	NA	NA	NA	NA	NA	chr1	31136025	31150105	+	NA	Gm29128
ENSMUSG00000099796.1	0	NA	NA	NA	NA	NA	chr1	31164548	31164773	+	NA	Gm7893
ENSMUSG00000050217.13	0	NA	NA	NA	NA	NA	chr1	31176400	31204725	+	NA	Lgsn
ENSMUSG00000026063.4	0	NA	NA	NA	NA	NA	chr1	31222837	31224288	+	NA	Pih1d3
ENSMUSG00000100205.1	0	NA	NA	NA	NA	NA	chr1	31267325	31267884	+	NA	Gm4850
ENSMUSG00000100592.1	0	NA	NA	NA	NA	NA	chr1	31274891	31275455	+	NA	Gm28645
ENSMUSG00000094215.2	0	NA	NA	NA	NA	NA	chr1	31286944	31287640	+	NA	Gm6489
ENSMUSG00000101093.1	0	NA	NA	NA	NA	NA	chr1	31559539	31561400	+	NA	Gm10307
ENSMUSG00000070960.4	6.32375438736177	-0.79675314498032	0.647391115100884	-1.23071374690732	0.218429944760993	NA	chr1	31615148	31616661	+	NA	Gm19680
ENSMUSG00000082159.2	0	NA	NA	NA	NA	NA	chr1	31736056	31736891	+	NA	Gm7910
ENSMUSG00000026058.11	0	NA	NA	NA	NA	NA	chr1	32172713	32658568	+	NA	Khdrbs2
ENSMUSG00000103482.1	0	NA	NA	NA	NA	NA	chr1	32473756	32475565	+	NA	Gm37999
ENSMUSG00000104498.1	0	NA	NA	NA	NA	NA	chr1	32485314	32486942	+	NA	Gm37110
ENSMUSG00000104313.1	0	NA	NA	NA	NA	NA	chr1	32496443	32497988	+	NA	Gm37911
ENSMUSG00000102321.1	0	NA	NA	NA	NA	NA	chr1	32539027	32542440	+	NA	Gm37792
ENSMUSG00000104433.1	0	NA	NA	NA	NA	NA	chr1	32710178	32712648	+	NA	Gm37426
ENSMUSG00000089395.1	0	NA	NA	NA	NA	NA	chr1	32726638	32726930	+	NA	Gm23024
ENSMUSG00000102917.1	0	NA	NA	NA	NA	NA	chr1	33065129	33066350	+	NA	Gm37724
ENSMUSG00000100481.1	0.349158563940251	-2.03864735551252	4.03770672571746	-0.504902285876215	0.613627468528956	NA	chr1	33100906	33102695	+	NA	Gm7114
ENSMUSG00000088750.1	0	NA	NA	NA	NA	NA	chr1	33191992	33192102	+	NA	Gm24901
ENSMUSG00000101754.2	0	NA	NA	NA	NA	NA	chr1	33235938	33237631	+	NA	Gm2987
ENSMUSG00000065223.1	0	NA	NA	NA	NA	NA	chr1	33293675	33293775	+	NA	Gm25792
ENSMUSG00000101612.2	0	NA	NA	NA	NA	NA	chr1	33371330	33373585	+	NA	Gm7933
ENSMUSG00000065260.1	0	NA	NA	NA	NA	NA	chr1	33422732	33422838	+	NA	Gm23453
ENSMUSG00000101682.1	0	NA	NA	NA	NA	NA	chr1	33482100	33482518	+	NA	Gm29228
ENSMUSG00000102093.1	0	NA	NA	NA	NA	NA	chr1	33657780	33658108	+	NA	Gm17813
ENSMUSG00000103746.1	0	NA	NA	NA	NA	NA	chr1	33669823	33670712	+	NA	1700001G17Rik
ENSMUSG00000004768.14	5.41979278536509	1.29350865453443	0.729530725185816	1.773069467643	0.0762171965555147	NA	chr1	33719886	33742564	+	NA	Rab23
ENSMUSG00000103072.1	0	NA	NA	NA	NA	NA	chr1	33748006	33748347	+	NA	Gm37905
ENSMUSG00000102839.1	0	NA	NA	NA	NA	NA	chr1	34350774	34351161	+	NA	Gm37385
ENSMUSG00000101206.1	0	NA	NA	NA	NA	NA	chr1	34367370	34369003	+	NA	Gm5266
ENSMUSG00000026126.15	0.327916988617855	-0.180485163933271	4.0804728567969	-0.0442314335292377	0.964719926231715	NA	chr1	34459761	34475733	+	NA	Ptpn18
ENSMUSG00000026125.9	0	NA	NA	NA	NA	NA	chr1	34498409	34503063	+	NA	Prss39
ENSMUSG00000026124.4	0	NA	NA	NA	NA	NA	chr1	34535647	34544313	+	NA	Cfc1
ENSMUSG00000045174.10	0	NA	NA	NA	NA	NA	chr1	34579656	34590944	+	NA	Amer3
ENSMUSG00000037509.19	0	NA	NA	NA	NA	NA	chr1	34678187	34813309	+	NA	Arhgef4
ENSMUSG00000102537.1	0	NA	NA	NA	NA	NA	chr1	34752774	34752922	+	NA	Gm37224
ENSMUSG00000102612.1	0	NA	NA	NA	NA	NA	chr1	34753122	34753477	+	NA	Gm37845
ENSMUSG00000104358.1	0	NA	NA	NA	NA	NA	chr1	34823524	34826560	+	NA	Gm37127
ENSMUSG00000103716.1	0	NA	NA	NA	NA	NA	chr1	34928508	34930645	+	NA	Gm19430
ENSMUSG00000103760.1	0.678241439466727	-1.66359726803232	2.70088017925236	-0.615946342533724	0.537929934169108	NA	chr1	34970064	34970500	+	NA	Gm8009
ENSMUSG00000103997.1	0	NA	NA	NA	NA	NA	chr1	34985655	34985890	+	NA	Gm38027
ENSMUSG00000064601.1	0	NA	NA	NA	NA	NA	chr1	35761601	35761706	+	NA	Gm25634
ENSMUSG00000101714.1	0	NA	NA	NA	NA	NA	chr1	35806973	35810462	+	NA	Gm28415
ENSMUSG00000102531.1	0	NA	NA	NA	NA	NA	chr1	35879844	35881119	+	NA	1110002O04Rik
ENSMUSG00000103096.1	0	NA	NA	NA	NA	NA	chr1	35958918	35959822	+	NA	Gm8022
ENSMUSG00000104201.1	0	NA	NA	NA	NA	NA	chr1	36011071	36011894	+	NA	4930535G08Rik
ENSMUSG00000102202.1	0.307808908299323	1.67648683912126	4.03781107979431	0.415196948542391	0.677997732459901	NA	chr1	36132041	36138746	+	NA	Gm33280
ENSMUSG00000037447.16	1.02637474344439	-2.39848647462135	1.98895217382224	-1.20590454923413	0.227854296352981	NA	chr1	36307732	36324029	+	NA	Arid5a
ENSMUSG00000102762.1	0	NA	NA	NA	NA	NA	chr1	36332707	36333420	+	NA	4930403P22Rik
ENSMUSG00000037408.10	2.2994030408941	-0.179616762973164	1.08672268639731	-0.165282979017054	0.868721255338483	NA	chr1	36471619	36508764	+	NA	Cnnm4
ENSMUSG00000106081.1	0	NA	NA	NA	NA	NA	chr1	36506561	36506702	+	NA	AC084391.1
ENSMUSG00000104316.1	0	NA	NA	NA	NA	NA	chr1	36473951	36476110	+	NA	Gm37909
ENSMUSG00000087589.3	0	NA	NA	NA	NA	NA	chr1	36557700	36565613	+	NA	D430040D24Rik
ENSMUSG00000089906.1	0	NA	NA	NA	NA	NA	chr1	36601801	36602146	+	NA	Gm6428
ENSMUSG00000077939.1	0	NA	NA	NA	NA	NA	chr1	36663964	36664039	+	NA	Gm24133
ENSMUSG00000026117.10	2.04360453633684	2.27626195143281	1.42001614753415	1.60298314592093	0.108938375159869	NA	chr1	36761797	36782818	+	NA	Zap70
ENSMUSG00000095944.1	0	NA	NA	NA	NA	NA	chr1	37005438	37005557	+	NA	n-R5s210
ENSMUSG00000050122.18	0.461979668481169	2.26217537738378	3.55749780295986	0.635889465764852	0.524848469203529	NA	chr1	37026595	37187613	+	NA	Vwa3b
ENSMUSG00000026114.14	0	NA	NA	NA	NA	NA	chr1	37214433	37263384	+	NA	Cnga3
ENSMUSG00000089767.1	0	NA	NA	NA	NA	NA	chr1	37614258	37615372	+	NA	4930556I23Rik
ENSMUSG00000104365.1	0	NA	NA	NA	NA	NA	chr1	37660721	37662647	+	NA	4930470B04Rik
ENSMUSG00000097268.1	0	NA	NA	NA	NA	NA	chr1	37865298	37871388	+	NA	Gm26805
ENSMUSG00000087374.1	0	NA	NA	NA	NA	NA	chr1	37933595	37954136	+	NA	Gm15457
ENSMUSG00000089141.1	0	NA	NA	NA	NA	NA	chr1	37973966	37974203	+	NA	Gm23409
ENSMUSG00000102716.1	0	NA	NA	NA	NA	NA	chr1	38132082	38159892	+	NA	Gm5099
ENSMUSG00000085391.1	0	NA	NA	NA	NA	NA	chr1	38235419	38246666	+	NA	Gm16150
ENSMUSG00000085280.1	0	NA	NA	NA	NA	NA	chr1	38307901	38311930	+	NA	Gm16151
ENSMUSG00000087131.7	0	NA	NA	NA	NA	NA	chr1	38384948	38393974	+	NA	Gm16152
ENSMUSG00000102984.1	0	NA	NA	NA	NA	NA	chr1	38487518	38488047	+	NA	Gm34727
ENSMUSG00000102541.1	0	NA	NA	NA	NA	NA	chr1	38722619	38723121	+	NA	Gm38135
ENSMUSG00000103531.1	0	NA	NA	NA	NA	NA	chr1	38767183	38767686	+	NA	2610300A13Rik
ENSMUSG00000103647.1	0	NA	NA	NA	NA	NA	chr1	38884753	38888072	+	NA	Gm37707
ENSMUSG00000102447.1	0	NA	NA	NA	NA	NA	chr1	38907944	38908716	+	NA	Gm6621
ENSMUSG00000067604.8	0	NA	NA	NA	NA	NA	chr1	38939148	38950276	+	NA	Nms
ENSMUSG00000026077.15	2.26895404632621	-4.73874947867782	1.48283328797928	-3.19573988329834	0.00139472789012389	NA	chr1	39193730	39363236	+	NA	Npas2
ENSMUSG00000092563.1	0	NA	NA	NA	NA	NA	chr1	39314898	39315453	+	NA	Gm3617
ENSMUSG00000065629.2	0	NA	NA	NA	NA	NA	chr1	39519532	39519747	+	NA	Gm24826
ENSMUSG00000104827.1	0	NA	NA	NA	NA	NA	chr1	39519532	39519748	+	NA	Gm24826
ENSMUSG00000097083.1	0	NA	NA	NA	NA	NA	chr1	39650175	39657390	+	NA	D930019O06Rik
ENSMUSG00000026073.13	0	NA	NA	NA	NA	NA	chr1	40074078	40125231	+	NA	Il1r2
ENSMUSG00000102975.1	0	NA	NA	NA	NA	NA	chr1	40088510	40091581	+	NA	Gm37347
ENSMUSG00000070942.8	0.15413836827709	0.78128750828036	4.0804728567969	0.191469845701573	0.848157503115296	NA	chr1	40324609	40367562	+	NA	Il1rl2
ENSMUSG00000103230.1	0	NA	NA	NA	NA	NA	chr1	40353851	40354536	+	NA	Gm17970
ENSMUSG00000026069.15	0.15413836827709	0.78128750828036	4.0804728567969	0.191469845701573	0.848157503115296	NA	chr1	40429569	40465415	+	NA	Il1rl1
ENSMUSG00000026070.15	0.658108539504828	-0.181637466540478	2.60797940175155	-0.0696468179229054	0.944474772073169	NA	chr1	40465551	40500854	+	NA	Il18r1
ENSMUSG00000026068.11	0.175412335504242	-1.14226584336213	4.0804728567969	-0.279934675085374	0.779527623443297	NA	chr1	40515361	40551705	+	NA	Il18rap
ENSMUSG00000026065.8	0	NA	NA	NA	NA	NA	chr1	40580080	40630725	+	NA	Slc9a4
ENSMUSG00000026062.12	0	NA	NA	NA	NA	NA	chr1	40680573	40769273	+	NA	Slc9a2
ENSMUSG00000103270.1	0	NA	NA	NA	NA	NA	chr1	40771384	40785343	+	NA	Gm37915
ENSMUSG00000079588.3	0	NA	NA	NA	NA	NA	chr1	40805600	40856887	+	NA	Tmem182
ENSMUSG00000100832.1	0	NA	NA	NA	NA	NA	chr1	41781807	41939560	+	NA	Gm29260
ENSMUSG00000100178.1	0	NA	NA	NA	NA	NA	chr1	42103288	42104333	+	NA	Gm5267
ENSMUSG00000053640.2	0	NA	NA	NA	NA	NA	chr1	42229725	42231108	+	NA	Gm9915
ENSMUSG00000101299.2	0	NA	NA	NA	NA	NA	chr1	42261854	42304412	+	NA	Gm28175
ENSMUSG00000103106.1	0	NA	NA	NA	NA	NA	chr1	42491812	42495663	+	NA	Gm37047
ENSMUSG00000104199.1	0	NA	NA	NA	NA	NA	chr1	42651725	42652401	+	NA	4930420N18Rik
ENSMUSG00000093436.6	0	NA	NA	NA	NA	NA	chr1	42694924	42744791	+	NA	Gm20646
ENSMUSG00000045515.3	0	NA	NA	NA	NA	NA	chr1	42695767	42703176	+	NA	Pou3f3
ENSMUSG00000099784.1	0	NA	NA	NA	NA	NA	chr1	42750711	42752881	+	NA	Dalir
ENSMUSG00000041907.9	0	NA	NA	NA	NA	NA	chr1	42952871	43035456	+	NA	Gpr45
ENSMUSG00000089088.1	0	NA	NA	NA	NA	NA	chr1	43036844	43036929	+	NA	Gm24001
ENSMUSG00000094497.1	0.17438707554165	-1.14226584336213	4.0804728567969	-0.279934675085374	0.779527623443297	NA	chr1	43189155	43189638	+	NA	Gm8210
ENSMUSG00000099694.1	0	NA	NA	NA	NA	NA	chr1	43270682	43271135	+	NA	Gm29610
ENSMUSG00000101923.1	0	NA	NA	NA	NA	NA	chr1	43409583	43409963	+	NA	Gm29041
ENSMUSG00000066877.11	2.36935519772685	1.81933890102967	1.22264808740273	1.48803152744833	0.136742579375483	NA	chr1	43444578	43570515	+	NA	Nck2
ENSMUSG00000103422.1	0	NA	NA	NA	NA	NA	chr1	43488446	43490937	+	NA	Gm37536
ENSMUSG00000103945.1	0	NA	NA	NA	NA	NA	chr1	43560272	43561565	+	NA	Gm38228
ENSMUSG00000026051.8	0	NA	NA	NA	NA	NA	chr1	43730601	43742578	+	NA	1500015O10Rik
ENSMUSG00000100635.1	0	NA	NA	NA	NA	NA	chr1	43742914	43743526	+	NA	Gm29157
ENSMUSG00000100701.1	0.67704316065335	-1.65997132819674	2.70391429419218	-0.613914180550115	0.539272039025549	NA	chr1	43888050	43888595	+	NA	Gm19587
ENSMUSG00000101395.1	0	NA	NA	NA	NA	NA	chr1	43898293	43899109	+	NA	Gm8241
ENSMUSG00000088848.1	0	NA	NA	NA	NA	NA	chr1	43902927	43903052	+	NA	Gm26352
ENSMUSG00000089703.1	0	NA	NA	NA	NA	NA	chr1	44212161	44213118	+	NA	Gm15833
ENSMUSG00000100769.1	0	NA	NA	NA	NA	NA	chr1	44392808	44394447	+	NA	Gm28893
ENSMUSG00000056870.9	0	NA	NA	NA	NA	NA	chr1	44551510	44796838	+	NA	Gulp1
ENSMUSG00000102319.1	0	NA	NA	NA	NA	NA	chr1	44560884	44565447	+	NA	Gm37626
ENSMUSG00000089877.1	0	NA	NA	NA	NA	NA	chr1	44644278	44644698	+	NA	Gm16102
ENSMUSG00000103071.1	0	NA	NA	NA	NA	NA	chr1	44756941	44758492	+	NA	Gm38110
ENSMUSG00000100434.1	0	NA	NA	NA	NA	NA	chr1	44839170	44839698	+	NA	Gm3489
ENSMUSG00000101937.1	0	NA	NA	NA	NA	NA	chr1	45178066	45179006	+	NA	Gm5268
ENSMUSG00000100894.1	0	NA	NA	NA	NA	NA	chr1	45602025	45602753	+	NA	Gm8304
ENSMUSG00000065255.1	0	NA	NA	NA	NA	NA	chr1	45746894	45747025	+	NA	Gm23974
ENSMUSG00000100843.1	0	NA	NA	NA	NA	NA	chr1	45768336	45769486	+	NA	Gm8307
ENSMUSG00000087764.1	0	NA	NA	NA	NA	NA	chr1	45772961	45773164	+	NA	Gm23984
ENSMUSG00000099381.1	0	NA	NA	NA	NA	NA	chr1	45905622	45906798	+	NA	Gm18303
ENSMUSG00000099946.1	0	NA	NA	NA	NA	NA	chr1	45971181	45976975	+	NA	Gm9496
ENSMUSG00000070896.2	0	NA	NA	NA	NA	NA	chr1	45981547	45982012	+	NA	Rpl23a-ps1
ENSMUSG00000099432.1	0	NA	NA	NA	NA	NA	chr1	46056309	46058986	+	NA	Gm18849
ENSMUSG00000041144.10	0.17438707554165	-1.14226584336213	4.0804728567969	-0.279934675085374	0.779527623443297	NA	chr1	46066314	46373546	+	NA	Dnah7b
ENSMUSG00000096047.1	0	NA	NA	NA	NA	NA	chr1	46374196	46374315	+	NA	n-R5s211
ENSMUSG00000101262.1	0.17438707554165	-1.14226584336213	4.0804728567969	-0.279934675085374	0.779527623443297	NA	chr1	46414501	46416932	+	NA	Gm8326
ENSMUSG00000101337.6	0	NA	NA	NA	NA	NA	chr1	46425591	46807476	+	NA	Dnah7c
ENSMUSG00000101921.1	0	NA	NA	NA	NA	NA	chr1	47067787	47068025	+	NA	Gm28825
ENSMUSG00000101447.1	0	NA	NA	NA	NA	NA	chr1	47153460	47189071	+	NA	Gm28826
ENSMUSG00000100530.1	0	NA	NA	NA	NA	NA	chr1	47478867	47480198	+	NA	Gm18117
ENSMUSG00000104067.1	0	NA	NA	NA	NA	NA	chr1	47605995	47606901	+	NA	Gm37196
ENSMUSG00000100033.1	0.307808908299323	1.67648683912126	4.03781107979431	0.415196948542391	0.677997732459901	NA	chr1	47657692	47659630	+	NA	Gm8337
ENSMUSG00000100866.1	0	NA	NA	NA	NA	NA	chr1	48527638	48527851	+	NA	Gm28830
ENSMUSG00000099376.1	0	NA	NA	NA	NA	NA	chr1	48783662	48784593	+	NA	Gm19124
ENSMUSG00000097883.1	0	NA	NA	NA	NA	NA	chr1	48881712	48882723	+	NA	Gm8357
ENSMUSG00000092790.1	0	NA	NA	NA	NA	NA	chr1	49095443	49095885	+	NA	Gm22693
ENSMUSG00000099454.1	0	NA	NA	NA	NA	NA	chr1	49236251	49237244	+	NA	Gm8367
ENSMUSG00000051616.14	0	NA	NA	NA	NA	NA	chr1	49244615	49340443	+	NA	C230029F24Rik
ENSMUSG00000099577.1	0	NA	NA	NA	NA	NA	chr1	49498552	49498992	+	NA	Gm3605
ENSMUSG00000101760.1	0	NA	NA	NA	NA	NA	chr1	50056781	50058490	+	NA	Gm8384
ENSMUSG00000099608.1	0	NA	NA	NA	NA	NA	chr1	50107469	50108962	+	NA	4933411E06Rik
ENSMUSG00000099941.1	0	NA	NA	NA	NA	NA	chr1	50533029	50533191	+	NA	Gm20118
ENSMUSG00000084531.1	0	NA	NA	NA	NA	NA	chr1	50559761	50560075	+	NA	Gm25843
ENSMUSG00000100816.1	0	NA	NA	NA	NA	NA	chr1	50815374	50817701	+	NA	Gm28321
ENSMUSG00000026109.14	0	NA	NA	NA	NA	NA	chr1	50900646	51187270	+	NA	Tmeff2
ENSMUSG00000100671.1	0	NA	NA	NA	NA	NA	chr1	50904443	50905918	+	NA	Gm28322
ENSMUSG00000092906.1	0	NA	NA	NA	NA	NA	chr1	51015312	51015413	+	NA	Gm25736
ENSMUSG00000099924.1	0	NA	NA	NA	NA	NA	chr1	51148308	51150581	+	NA	Gm28320
ENSMUSG00000099625.1	0	NA	NA	NA	NA	NA	chr1	51195220	51197748	+	NA	Gm29325
ENSMUSG00000101501.1	0	NA	NA	NA	NA	NA	chr1	52522238	52522701	+	NA	Rps27a-ps1
ENSMUSG00000100120.1	0.307841300204079	1.67661878694879	4.03779928885144	0.415230839130121	0.677972924993158	NA	chr1	52522901	52582679	+	NA	Gm553
ENSMUSG00000100007.1	0	NA	NA	NA	NA	NA	chr1	52584517	52585159	+	NA	Gm5527
ENSMUSG00000043015.15	0.830361679723388	-0.763879276019067	2.22715146094901	-0.342984879750195	0.731609835196969	NA	chr1	52630702	52651919	+	NA	Tmem194b
ENSMUSG00000100230.1	0	NA	NA	NA	NA	NA	chr1	52756718	52757129	+	NA	Gm28650
ENSMUSG00000026100.6	0	NA	NA	NA	NA	NA	chr1	53061639	53068079	+	NA	Mstn
ENSMUSG00000089334.1	0	NA	NA	NA	NA	NA	chr1	53100049	53100150	+	NA	Gm24349
ENSMUSG00000099450.1	0	NA	NA	NA	NA	NA	chr1	53363113	53363686	+	NA	Gm6799
ENSMUSG00000100069.1	0	NA	NA	NA	NA	NA	chr1	53390414	53392585	+	NA	Gm6801
ENSMUSG00000102405.1	0	NA	NA	NA	NA	NA	chr1	53791200	53792657	+	NA	Gm37863
ENSMUSG00000098443.1	0	NA	NA	NA	NA	NA	chr1	53849423	53849495	+	NA	Mir7681
ENSMUSG00000025983.11	0	NA	NA	NA	NA	NA	chr1	54250682	54368727	+	NA	Ccdc150
ENSMUSG00000101130.1	0	NA	NA	NA	NA	NA	chr1	54566702	54567281	+	NA	Gm19637
ENSMUSG00000101674.6	0	NA	NA	NA	NA	NA	chr1	54681728	54767524	+	NA	4930444A19Rik
ENSMUSG00000089245.1	0	NA	NA	NA	NA	NA	chr1	54769217	54769322	+	NA	Gm24053
ENSMUSG00000089670.1	0.659166191372178	-0.184866498391844	2.96630524539899	-0.0623221425639147	0.950306295533348	NA	chr1	55127296	55128287	+	NA	Gm16581
ENSMUSG00000097649.2	0.153670540022233	0.78128750828036	4.0804728567969	0.191469845701573	0.848157503115297	NA	chr1	55226250	55235622	+	NA	Gm10561
ENSMUSG00000046994.9	5.1031222907175	-0.273577121790465	0.702141410243502	-0.389632512481479	0.696808307014124	NA	chr1	55237176	55248470	+	NA	Mars2
ENSMUSG00000100215.1	1.15866308119819	-0.593543026643358	1.78726483685626	-0.332095733325891	0.739816971795783	NA	chr1	55335400	55335796	+	NA	Gm8292
